Potrawa;Kalorie;Bia³ka;T³uszcze;Wêglowodany;Wegetarianin;Weganizm
Barszcz czerwony zabielany;34;2.1;1.4;3.4;1;0
Zupa grzybowa zabielana;29;1.5;1.9;1.8;1;0
Zupa pomidorowa z makaronem;35;1.6;1.8;3.3;1;0
¯urek;126;2.7;3.2;22.9;0;0
Ry¿ na mleku 3,2% t³uszczu;66;2.7;2.1;9.1;1;0
Dorsz, filety po grecku;155;10.6;10.8;4.6;0;0
Dorsz, filety panierowane, sma¿one;275;19.2;15.8;14.5;0;0
Klopsiki cielêce mielone, duszone;252;16.3;14.6;14.2;0;0
Pieczeñ cielêca , duszona;192;20.1;11.8;1.7;0;0
Potrawka z kurczaka;150;13.3;9;4.6;0;0
Kotlet schabowy panierowany, sma¿ony;353;19.1;24.1;15.9;0;0
¯eberka wieprzowe, duszone;210;7.9;19.2;2.2;0;0
Boeuf Strogonow, duszony;221;19.6;14.3;3.7;0;0
Fasola po bretoñsku;148;8.0;6.6;15.9;0;0
Mizeria ze œmietan¹;34;1.0;2.2;2.8;1;1
Surówka wielowarzywna z jogurtem naturalnym;38;1.7;0.6;7;1;1
Ciasto naleœnikowe biszkoptowe;189;8.5;5.9;25.5;1;0
Kluski œl¹skie;172;2.6;3.8;32.1;1;0
Naleœniki z serem twarogowym;243;10.2;10.3;27.3;1;0
Pizza z pieczarkami i cebul¹;296;13.3;13.1;32.1;1;1
Pizza miêsno-zio³owa;336;18;13.2;36.8;0;0
Placki ziemniaczane;235;3.6;14.5;23.6;1;1
Jajecznica;119;9.8;8.7;0.5;1;0
Omlet biszkoptowy ze szpinakiem;142;5.9;9.7;9.3;1;0
Kisiel waniliowy;121;3.3;4.5;16.6;1;1
